2013_9_19 957.0 965.0 945.0 958.0 9563600.0 958.0
2013_9_20 963.0 968.0 958.0 960.0 8435300.0 960.0
2013_9_24 955.0 959.0 942.0 956.0 5881200.0 956.0
2013_9_25 950.0 956.0 948.0 953.0 4261700.0 953.0
2013_9_26 951.0 960.0 935.0 960.0 6074800.0 960.0
2013_9_27 961.0 972.0 959.0 962.0 7852200.0 962.0
2013_9_30 950.0 966.0 945.0 948.0 9067200.0 948.0
2013_10_1 953.0 962.0 951.0 952.0 7255300.0 952.0
2013_10_2 952.0 969.0 937.0 942.0 10545900.0 942.0
2013_10_3 942.0 953.0 916.0 947.0 18558900.0 947.0
2013_10_4 934.0 934.0 912.0 915.0 13425800.0 915.0
2013_10_7 915.0 929.0 906.0 910.0 13101200.0 910.0
2013_10_8 908.0 917.0 904.0 916.0 7657600.0 916.0
2013_10_9 917.0 933.0 906.0 931.0 8614800.0 931.0
2013_10_10 946.0 947.0 922.0 929.0 7295700.0 929.0
2013_10_11 941.0 960.0 938.0 955.0 11034200.0 955.0
2013_10_15 960.0 965.0 952.0 961.0 7238200.0 961.0
2013_10_16 953.0 957.0 945.0 947.0 6083200.0 947.0
2013_10_17 955.0 959.0 926.0 932.0 9810500.0 932.0
2013_10_18 930.0 945.0 929.0 941.0 5574000.0 941.0
2013_10_21 945.0 963.0 945.0 949.0 9946700.0 949.0
2013_10_22 948.0 953.0 939.0 941.0 5267500.0 941.0
2013_10_23 941.0 946.0 919.0 922.0 9464400.0 922.0
2013_10_24 935.0 938.0 922.0 936.0 6992200.0 936.0
2013_10_25 930.0 934.0 920.0 922.0 7205900.0 922.0
2013_10_28 933.0 948.0 926.0 946.0 9629400.0 946.0
2013_10_29 946.0 953.0 940.0 947.0 7308000.0 947.0
2013_10_30 953.0 957.0 944.0 949.0 6574400.0 949.0
2013_10_31 963.0 997.0 960.0 985.0 37986500.0 985.0
2013_11_1 1030.0 1053.0 1030.0 1046.0 39398400.0 1046.0
2013_11_5 1041.0 1046.0 1012.0 1025.0 20582900.0 1025.0
2013_11_6 1018.0 1047.0 1015.0 1033.0 13525100.0 1033.0
2013_11_7 1023.0 1033.0 1015.0 1020.0 9988100.0 1020.0
2013_11_8 1004.0 1013.0 988.0 994.0 11725700.0 994.0
2013_11_11 1004.0 1012.0 981.0 987.0 8261100.0 987.0
2013_11_12 986.0 1000.0 984.0 1000.0 10006300.0 1000.0
2013_11_13 999.0 1010.0 985.0 991.0 8839200.0 991.0
2013_11_14 1004.0 1036.0 997.0 1031.0 15299300.0 1031.0
2013_11_15 1050.0 1067.0 1041.0 1060.0 19804100.0 1060.0
2013_11_18 1075.0 1079.0 1046.0 1049.0 12458700.0 1049.0
2013_11_19 1047.0 1052.0 1038.0 1042.0 8159000.0 1042.0
2013_11_20 1050.0 1072.0 1041.0 1046.0 16777100.0 1046.0
2013_11_21 1052.0 1074.0 1048.0 1070.0 14163700.0 1070.0
2013_11_22 1090.0 1109.0 1081.0 1095.0 23218300.0 1095.0
2013_11_25 1106.0 1138.0 1105.0 1134.0 25575600.0 1134.0
2013_11_26 1120.0 1133.0 1119.0 1128.0 12120900.0 1128.0
2013_11_27 1155.0 1179.0 1148.0 1167.0 34002500.0 1167.0
2013_11_28 1183.0 1213.0 1172.0 1200.0 46092200.0 1200.0
2013_11_29 1180.0 1184.0 1162.0 1175.0 24301100.0 1175.0
2013_12_2 1179.0 1180.0 1163.0 1166.0 10249700.0 1166.0
2013_12_3 1171.0 1194.0 1167.0 1186.0 14272100.0 1186.0
2013_12_4 1166.0 1173.0 1143.0 1151.0 16345500.0 1151.0
2013_12_5 1144.0 1158.0 1135.0 1139.0 9485500.0 1139.0
2013_12_6 1132.0 1176.0 1130.0 1173.0 17197300.0 1173.0
2013_12_9 1191.0 1198.0 1181.0 1187.0 9151600.0 1187.0
2013_12_10 1181.0 1184.0 1164.0 1175.0 9047900.0 1175.0
2013_12_11 1182.0 1182.0 1167.0 1178.0 9873400.0 1178.0
2013_12_12 1152.0 1167.0 1150.0 1162.0 12008600.0 1162.0
2013_12_13 1154.0 1171.0 1149.0 1158.0 15222800.0 1158.0
2013_12_16 1148.0 1153.0 1133.0 1140.0 10334200.0 1140.0
2013_12_17 1155.0 1173.0 1154.0 1170.0 9041300.0 1170.0
2013_12_18 1160.0 1185.0 1160.0 1183.0 13495200.0 1183.0
2013_12_19 1200.0 1233.0 1198.0 1213.0 30306300.0 1213.0
2013_12_20 1212.0 1220.0 1210.0 1215.0 12361900.0 1215.0
2013_12_24 1235.0 1260.0 1189.0 1195.0 21867700.0 1195.0
2013_12_25 1195.0 1208.0 1190.0 1199.0 7892500.0 1199.0
2013_12_26 1218.0 1219.0 1193.0 1204.0 9181400.0 1204.0
2013_12_27 1214.0 1217.0 1198.0 1215.0 7831500.0 1215.0
2013_12_30 1225.0 1226.0 1215.0 1224.0 7890900.0 1224.0
2014_1_6 1229.0 1264.0 1221.0 1254.0 19781100.0 1254.0
2014_1_7 1265.0 1283.0 1261.0 1270.0 16369500.0 1270.0
2014_1_8 1290.0 1294.0 1278.0 1290.0 12417600.0 1290.0
2014_1_9 1300.0 1320.0 1290.0 1315.0 18257500.0 1315.0
2014_1_10 1315.0 1345.0 1311.0 1338.0 18460400.0 1338.0
2014_1_14 1317.0 1332.0 1305.0 1319.0 14220300.0 1319.0
